,,,,,
Problem,Source,Answer,Percent Correct,Hints,Tags
37,USNCO L2018,B,,,
38,USNCO L2018,A,,,
39,USNCO L2018,C,,,
40,USNCO L2018,C,,,
41,USNCO L2018,C,,,
42,USNCO L2018,D,,,
43,USNCO L2018,A,,,
44,USNCO L2018,C,,,
45,USNCO L2018,A,,,
46,USNCO L2018,C,,,
47,USNCO L2018,C,,,
48,USNCO L2018,B,,,
49,USNCO L2018,D,,,
50,USNCO L2018,B,,,
51,USNCO L2018,B,,,
52,USNCO L2018,B,,,
53,USNCO L2018,A,,,
54,USNCO L2018,D,,,
55,USNCO L2018,C,,,
56,USNCO L2018,C,,,
57,USNCO L2018,C,,,
58,USNCO L2018,A,,,
59,USNCO L2018,B,,,
60,USNCO L2018,A,,,
1,USNCO L2017,A,,,
2,USNCO L2017,D,,,
3,USNCO L2017,A,,,
4,USNCO L2017,C,,,
5,USNCO L2017,D,,,
6,USNCO L2017,B,,,
7,USNCO L2017,C,,,
8,USNCO L2017,A,,,
9,USNCO L2017,D,,,
10,USNCO L2017,C,,,
11,USNCO L2017,A,,,
12,USNCO L2017,D,,,
13,USNCO L2017,B,,,
14,USNCO L2017,B,,,
15,USNCO L2017,A,,,
16,USNCO L2017,A,,,
17,USNCO L2017,C,,,
18,USNCO L2017,A,,,
19,USNCO L2017,C,,,
20,USNCO L2017,B,,,
21,USNCO L2017,A,,,
22,USNCO L2017,D,,,
23,USNCO L2017,C,,,
24,USNCO L2017,D,,,
25,USNCO L2017,D,,,
26,USNCO L2017,C,,,
27,USNCO L2017,B,,,
28,USNCO L2017,C,,,
29,USNCO L2017,B,,,
30,USNCO L2017,D,,,
31,USNCO L2017,A,,,
32,USNCO L2017,C,,,
33,USNCO L2017,A,,,
34,USNCO L2017,A,,,
35,USNCO L2017,A,,,
36,USNCO L2017,B,,,
37,USNCO L2017,A,,,
38,USNCO L2017,B,,,
39,USNCO L2017,D,,,
40,USNCO L2017,B,,,
41,USNCO L2017,D,,,
42,USNCO L2017,A,,,
43,USNCO L2017,D,,,
44,USNCO L2017,A,,,
45,USNCO L2017,D,,,
46,USNCO L2017,B,,,
47,USNCO L2017,C,,,
48,USNCO L2017,C,,,
49,USNCO L2017,B,,,
50,USNCO L2017,C,,,
51,USNCO L2017,C,,,
52,USNCO L2017,B,,,
53,USNCO L2017,A,,,
54,USNCO L2017,B,,,
55,USNCO L2017,D,,,
56,USNCO L2017,D,,,
57,USNCO L2017,A,,,
58,USNCO L2017,B,,,
59,USNCO L2017,A,,,
60,USNCO L2017,C,,,
1,USNCO L2016,A,,,
2,USNCO L2016,A,,,
3,USNCO L2016,A,,,
4,USNCO L2016,B,,,
5,USNCO L2016,D,,,
6,USNCO L2016,A,,,
7,USNCO L2016,D,,,
8,USNCO L2016,D,,,
9,USNCO L2016,B,,,
10,USNCO L2016,A,,,
11,USNCO L2016,D,,,
12,USNCO L2016,D,,,
13,USNCO L2016,B,,,
14,USNCO L2016,D,,,
15,USNCO L2016,C,,,
16,USNCO L2016,B,,,
17,USNCO L2016,A,,,
18,USNCO L2016,C,,,
19,USNCO L2016,B,,,
20,USNCO L2016,C,,,
21,USNCO L2016,A,,,
22,USNCO L2016,C,,,
23,USNCO L2016,A,,,
24,USNCO L2016,D,,,
25,USNCO L2016,C,,,
26,USNCO L2016,C,,,
27,USNCO L2016,C,,,
28,USNCO L2016,A,,,
29,USNCO L2016,D,,,
30,USNCO L2016,A,,,
31,USNCO L2016,B,,,
32,USNCO L2016,A,,,
33,USNCO L2016,D,,,
34,USNCO L2016,C,,,
35,USNCO L2016,B,,,
36,USNCO L2016,D,,,
37,USNCO L2016,B,,,
38,USNCO L2016,B,,,
39,USNCO L2016,C,,,
40,USNCO L2016,A,,,
41,USNCO L2016,B,,,
42,USNCO L2016,D,,,
43,USNCO L2016,A,,,
44,USNCO L2016,A,,,
45,USNCO L2016,B,,,
46,USNCO L2016,C,,,
47,USNCO L2016,A,,,
48,USNCO L2016,B,,,
49,USNCO L2016,A,,,
50,USNCO L2016,C,,,
51,USNCO L2016,B,,,
52,USNCO L2016,C,,,
53,USNCO L2016,C,,,
54,USNCO L2016,B,,,
55,USNCO L2016,C,,,
56,USNCO L2016,D,,,
57,USNCO L2016,B,,,
58,USNCO L2016,D,,,
59,USNCO L2016,A,,,
60,USNCO L2016,B,,,
1,USNCO L2015,B,,,
2,USNCO L2015,A,,,
3,USNCO L2015,D,,,
4,USNCO L2015,C,,,
5,USNCO L2015,B,,,
6,USNCO L2015,A,,,
7,USNCO L2015,C,,,
8,USNCO L2015,C,,,
9,USNCO L2015,D,,,
10,USNCO L2015,A,,,
11,USNCO L2015,B,,,
12,USNCO L2015,B,,,
13,USNCO L2015,A,,,
14,USNCO L2015,B,,,
15,USNCO L2015,A,,,
16,USNCO L2015,C,,,
17,USNCO L2015,D,,,
18,USNCO L2015,B,,,
19,USNCO L2015,B,,,
20,USNCO L2015,B,,,
21,USNCO L2015,A,,,
22,USNCO L2015,D,,,
23,USNCO L2015,B,,,
24,USNCO L2015,A,,,
25,USNCO L2015,C,,,
26,USNCO L2015,B,,,
27,USNCO L2015,C,,,
28,USNCO L2015,C,,,
29,USNCO L2015,B,,,
30,USNCO L2015,D,,,
31,USNCO L2015,A,,,
32,USNCO L2015,D,,,
33,USNCO L2015,D,,,
34,USNCO L2015,C,,,
35,USNCO L2015,C,,,
36,USNCO L2015,C,,,
37,USNCO L2015,B,,,
38,USNCO L2015,B,,,
39,USNCO L2015,D,,,
40,USNCO L2015,A,,,
41,USNCO L2015,A,,,
42,USNCO L2015,C,,,
43,USNCO L2015,A,,,
44,USNCO L2015,D,,,
45,USNCO L2015,D,,,
46,USNCO L2015,B,,,
47,USNCO L2015,B,,,
48,USNCO L2015,A,,,
49,USNCO L2015,C,,,
50,USNCO L2015,B,,,
51,USNCO L2015,A,,,
52,USNCO L2015,B,,,
53,USNCO L2015,D,,,
54,USNCO L2015,D,,,
55,USNCO L2015,A,,,
56,USNCO L2015,D,,,
57,USNCO L2015,C,,,
58,USNCO L2015,D,,,
59,USNCO L2015,C,,,
60,USNCO L2015,B,,,
1,USNCO L2014,D,,,
2,USNCO L2014,C,,,
3,USNCO L2014,B,,,
4,USNCO L2014,C,,,
5,USNCO L2014,D,,,
6,USNCO L2014,A,,,
7,USNCO L2014,C,,,
8,USNCO L2014,A,,,
9,USNCO L2014,B,,,
10,USNCO L2014,B,,,
11,USNCO L2014,A,,,
12,USNCO L2014,A,,,
13,USNCO L2014,D,,,
14,USNCO L2014,A,,,
15,USNCO L2014,C,,,
16,USNCO L2014,D,,,
17,USNCO L2014,D,,,
18,USNCO L2014,C,,,
19,USNCO L2014,D,,,
20,USNCO L2014,B,,,
21,USNCO L2014,B,,,
22,USNCO L2014,B,,,
23,USNCO L2014,A,,,
24,USNCO L2014,C,,,
25,USNCO L2014,C,,,
26,USNCO L2014,A,,,
27,USNCO L2014,D,,,
28,USNCO L2014,C,,,
29,USNCO L2014,B,,,
30,USNCO L2014,D,,,
31,USNCO L2014,D,,,
32,USNCO L2014,D,,,
33,USNCO L2014,B,,,
34,USNCO L2014,C,,,
35,USNCO L2014,B,,,
36,USNCO L2014,A,,,
37,USNCO L2014,D,,,
38,USNCO L2014,A,,,
39,USNCO L2014,B,,,
40,USNCO L2014,D,,,
41,USNCO L2014,A,,,
42,USNCO L2014,B,,,
43,USNCO L2014,D,,,
44,USNCO L2014,C,,,
45,USNCO L2014,C,,,
46,USNCO L2014,B,,,
47,USNCO L2014,C,,,
48,USNCO L2014,B,,,
49,USNCO L2014,C,,,
50,USNCO L2014,D,,,
51,USNCO L2014,B,,,
52,USNCO L2014,C,,,
53,USNCO L2014,D,,,
54,USNCO L2014,A,,,
55,USNCO L2014,A,,,
56,USNCO L2014,A,,,
57,USNCO L2014,C,,,
58,USNCO L2014,B,,,
59,USNCO L2014,D,,,
60,USNCO L2014,B,,,
1,USNCO L2013,D,,,
2,USNCO L2013,B,,,
3,USNCO L2013,C,,,
4,USNCO L2013,B,,,
5,USNCO L2013,C,,,
6,USNCO L2013,C,,,
7,USNCO L2013,D,,,
8,USNCO L2013,B,,,
9,USNCO L2013,D,,,
10,USNCO L2013,A,,,
11,USNCO L2013,A,,,
12,USNCO L2013,D,,,
13,USNCO L2013,B,,,
14,USNCO L2013,B,,,
15,USNCO L2013,A,,,
16,USNCO L2013,B,,,
17,USNCO L2013,B,,,
18,USNCO L2013,D,,,
19,USNCO L2013,D,,,
20,USNCO L2013,A,,,
21,USNCO L2013,A,,,
22,USNCO L2013,B,,,
23,USNCO L2013,C,,,
24,USNCO L2013,B,,,
25,USNCO L2013,D,,,
26,USNCO L2013,B,,,
27,USNCO L2013,C,,,
28,USNCO L2013,D,,,
29,USNCO L2013,D,,,
30,USNCO L2013,A,,,
31,USNCO L2013,D,,,
32,USNCO L2013,B,,,
33,USNCO L2013,D,,,
34,USNCO L2013,D,,,
35,USNCO L2013,B,,,
36,USNCO L2013,C,,,
37,USNCO L2013,C,,,
38,USNCO L2013,A,,,
39,USNCO L2013,B,,,
40,USNCO L2013,B,,,
41,USNCO L2013,A,,,
42,USNCO L2013,B,,,
43,USNCO L2013,D,,,
44,USNCO L2013,C,,,
45,USNCO L2013,A,,,
46,USNCO L2013,D,,,
47,USNCO L2013,C,,,
48,USNCO L2013,B,,,
49,USNCO L2013,D,,,
50,USNCO L2013,C,,,
51,USNCO L2013,C,,,
52,USNCO L2013,D,,,
53,USNCO L2013,D,,,
54,USNCO L2013,D,,,
55,USNCO L2013,C,,,
56,USNCO L2013,B,,,
57,USNCO L2013,D,,,
58,USNCO L2013,B,,,
59,USNCO L2013,D,,,
60,USNCO L2013,C,,,
1,USNCO L2012,A,,,
2,USNCO L2012,B,,,
3,USNCO L2012,A,,,
4,USNCO L2012,C,,,
5,USNCO L2012,C,,,
6,USNCO L2012,C,,,
7,USNCO L2012,C,,,
8,USNCO L2012,B,,,
9,USNCO L2012,B,,,
10,USNCO L2012,A,,,
11,USNCO L2012,C,,,
12,USNCO L2012,A,,,
13,USNCO L2012,A,,,
14,USNCO L2012,A,,,
15,USNCO L2012,C,,,
16,USNCO L2012,D,,,
17,USNCO L2012,B,,,
18,USNCO L2012,B,,,
19,USNCO L2012,A,,,
20,USNCO L2012,B,,,
21,USNCO L2012,B,,,
22,USNCO L2012,D,,,
23,USNCO L2012,D,,,
24,USNCO L2012,D,,,
25,USNCO L2012,C,,,
26,USNCO L2012,B,,,
27,USNCO L2012,C,,,
28,USNCO L2012,B,,,
29,USNCO L2012,D,,,
30,USNCO L2012,A,,,
31,USNCO L2012,A,,,
32,USNCO L2012,C,,,
33,USNCO L2012,C,,,
34,USNCO L2012,D,,,
35,USNCO L2012,C,,,
36,USNCO L2012,B,,,
37,USNCO L2012,A,,,
38,USNCO L2012,A,,,
39,USNCO L2012,D,,,
40,USNCO L2012,B,,,
41,USNCO L2012,D,,,
42,USNCO L2012,C,,,
43,USNCO L2012,B,,,
44,USNCO L2012,D,,,
45,USNCO L2012,A,,,
46,USNCO L2012,B,,,
47,USNCO L2012,C,,,
48,USNCO L2012,B,,,
49,USNCO L2012,C,,,
50,USNCO L2012,D,,,
51,USNCO L2012,D,,,
52,USNCO L2012,A,,,
53,USNCO L2012,D,,,
54,USNCO L2012,B,,,
55,USNCO L2012,D,,,
56,USNCO L2012,C,,,
57,USNCO L2012,A,,,
58,USNCO L2012,C,,,
59,USNCO L2012,A,,,
60,USNCO L2012,B,,,
1,USNCO L2011,B,,,
2,USNCO L2011,A,,,
3,USNCO L2011,D,,,
4,USNCO L2011,C,,,
5,USNCO L2011,A,,,
6,USNCO L2011,D,,,
7,USNCO L2011,D,,,
8,USNCO L2011,C,,,
9,USNCO L2011,D,,,
10,USNCO L2011,D,,,
11,USNCO L2011,A,,,
12,USNCO L2011,D,,,
13,USNCO L2011,A,,,
14,USNCO L2011,B,,,
15,USNCO L2011,D,,,
16,USNCO L2011,D,,,
17,USNCO L2011,A,,,
18,USNCO L2011,D,,,
19,USNCO L2011,A,,,
20,USNCO L2011,B,,,
21,USNCO L2011,B,,,
22,USNCO L2011,A,,,
23,USNCO L2011,D,,,
24,USNCO L2011,A,,,
25,USNCO L2011,A,,,
26,USNCO L2011,A,,,
27,USNCO L2011,A,,,
28,USNCO L2011,D,,,
29,USNCO L2011,B,,,
30,USNCO L2011,B,,,
31,USNCO L2011,D,,,
32,USNCO L2011,D,,,
33,USNCO L2011,C,,,
34,USNCO L2011,C,,,
35,USNCO L2011,A,,,
36,USNCO L2011,B,,,
37,USNCO L2011,C,,,
38,USNCO L2011,B,,,
39,USNCO L2011,B,,,
40,USNCO L2011,C,,,
41,USNCO L2011,C,,,
42,USNCO L2011,B,,,
43,USNCO L2011,C,,,
44,USNCO L2011,D,,,
45,USNCO L2011,D,,,
46,USNCO L2011,B,,,
47,USNCO L2011,B,,,
48,USNCO L2011,D,,,
49,USNCO L2011,D,,,
50,USNCO L2011,A,,,
51,USNCO L2011,A,,,
52,USNCO L2011,B,,,
53,USNCO L2011,C,,,
54,USNCO L2011,C,,,
55,USNCO L2011,B,,,
56,USNCO L2011,C,,,
57,USNCO L2011,C,,,
58,USNCO L2011,B,,,
59,USNCO L2011,A,,,
60,USNCO L2011,D,,,
1,USNCO L2010,D,,,
2,USNCO L2010,A,,,
3,USNCO L2010,B,,,
4,USNCO L2010,C,,,
5,USNCO L2010,A,,,
6,USNCO L2010,A,,,
7,USNCO L2010,D,,,
8,USNCO L2010,B,,,
9,USNCO L2010,C,,,
10,USNCO L2010,B,,,
11,USNCO L2010,D,,,
12,USNCO L2010,A,,,
13,USNCO L2010,C,,,
14,USNCO L2010,D,,,
15,USNCO L2010,D,,,
16,USNCO L2010,C,,,
17,USNCO L2010,A,,,
18,USNCO L2010,C,,,
19,USNCO L2010,A,,,
20,USNCO L2010,A,,,
21,USNCO L2010,A,,,
22,USNCO L2010,B,,,
23,USNCO L2010,C,,,
24,USNCO L2010,D,,,
25,USNCO L2010,B,,,
26,USNCO L2010,D,,,
27,USNCO L2010,A,,,
28,USNCO L2010,C,,,
29,USNCO L2010,B,,,
30,USNCO L2010,C,,,
31,USNCO L2010,D,,,
32,USNCO L2010,D,,,
33,USNCO L2010,C,,,
34,USNCO L2010,A,,,
35,USNCO L2010,D,,,
36,USNCO L2010,C,,,
37,USNCO L2010,B,,,
38,USNCO L2010,C,,,
39,USNCO L2010,A,,,
40,USNCO L2010,B,,,
41,USNCO L2010,C,,,
42,USNCO L2010,A,,,
43,USNCO L2010,A,,,
44,USNCO L2010,D,,,
45,USNCO L2010,B,,,
46,USNCO L2010,C,,,
47,USNCO L2010,C,,,
48,USNCO L2010,D,,,
49,USNCO L2010,D,,,
50,USNCO L2010,B,,,
51,USNCO L2010,A,,,
52,USNCO L2010,A,,,
53,USNCO L2010,D,,,
54,USNCO L2010,B,,,
55,USNCO L2010,C,,,
56,USNCO L2010,C,,,
57,USNCO L2010,D,,,
58,USNCO L2010,A,,,
59,USNCO L2010,D,,,
60,USNCO L2010,B,,,
1,USNCO L2009,B,,,
2,USNCO L2009,D,,,
3,USNCO L2009,C,,,
4,USNCO L2009,A,,,
5,USNCO L2009,B,,,
6,USNCO L2009,A,,,
7,USNCO L2009,B,,,
8,USNCO L2009,C,,,
9,USNCO L2009,C,,,
10,USNCO L2009,D,,,
11,USNCO L2009,B,,,
12,USNCO L2009,A,,,
13,USNCO L2009,B,,,
14,USNCO L2009,D,,,
15,USNCO L2009,A,,,
16,USNCO L2009,A,,,
17,USNCO L2009,D,,,
18,USNCO L2009,C,,,
19,USNCO L2009,C,,,
20,USNCO L2009,B,,,
21,USNCO L2009,D,,,
22,USNCO L2009,D,,,
23,USNCO L2009,C,,,
24,USNCO L2009,A,,,
25,USNCO L2009,C,,,
26,USNCO L2009,A,,,
27,USNCO L2009,B,,,
28,USNCO L2009,D,,,
29,USNCO L2009,C,,,
30,USNCO L2009,A,,,
31,USNCO L2009,C,,,
32,USNCO L2009,C,,,
33,USNCO L2009,A,,,
34,USNCO L2009,B,,,
35,USNCO L2009,D,,,
36,USNCO L2009,C,,,
37,USNCO L2009,C,,,
38,USNCO L2009,D,,,
39,USNCO L2009,A,,,
40,USNCO L2009,B,,,
41,USNCO L2009,A,,,
42,USNCO L2009,D,,,
43,USNCO L2009,B,,,
44,USNCO L2009,A,,,
45,USNCO L2009,C,,,
46,USNCO L2009,B,,,
47,USNCO L2009,D,,,
48,USNCO L2009,D,,,
49,USNCO L2009,C,,,
50,USNCO L2009,A,,,
51,USNCO L2009,D,,,
52,USNCO L2009,C,,,
53,USNCO L2009,B,,,
54,USNCO L2009,C,,,
55,USNCO L2009,D,,,
56,USNCO L2009,D,,,
57,USNCO L2009,A,,,
58,USNCO L2009,B,,,
59,USNCO L2009,D,,,
60,USNCO L2009,A,,,
1,USNCO L2008,A,,,
2,USNCO L2008,D,,,
3,USNCO L2008,A,,,
4,USNCO L2008,B,,,
5,USNCO L2008,D,,,
6,USNCO L2008,A,,,
7,USNCO L2008,C,,,
8,USNCO L2008,C,,,
9,USNCO L2008,D,,,
10,USNCO L2008,B,,,
11,USNCO L2008,D,,,
12,USNCO L2008,A,,,
13,USNCO L2008,B,,,
14,USNCO L2008,A,,,
15,USNCO L2008,C,,,
16,USNCO L2008,C,,,
17,USNCO L2008,D,,,
18,USNCO L2008,D,,,
19,USNCO L2008,A,,,
20,USNCO L2008,D,,,
21,USNCO L2008,A,,,
22,USNCO L2008,C,,,
23,USNCO L2008,B,,,
24,USNCO L2008,A,,,
25,USNCO L2008,A,,,
26,USNCO L2008,D,,,
27,USNCO L2008,C,,,
28,USNCO L2008,B,,,
29,USNCO L2008,B,,,
30,USNCO L2008,C,,,
31,USNCO L2008,A,,,
32,USNCO L2008,D,,,
33,USNCO L2008,D,,,
34,USNCO L2008,B,,,
35,USNCO L2008,B,,,
36,USNCO L2008,A,,,
37,USNCO L2008,C,,,
38,USNCO L2008,A,,,
39,USNCO L2008,B,,,
40,USNCO L2008,D,,,
41,USNCO L2008,B,,,
42,USNCO L2008,A,,,
43,USNCO L2008,D,,,
44,USNCO L2008,C,,,
45,USNCO L2008,D,,,
46,USNCO L2008,B,,,
47,USNCO L2008,C,,,
48,USNCO L2008,B,,,
49,USNCO L2008,C,,,
50,USNCO L2008,A,,,
51,USNCO L2008,B,,,
52,USNCO L2008,C,,,
53,USNCO L2008,C,,,
54,USNCO L2008,B,,,
55,USNCO L2008,A,,,
56,USNCO L2008,D,,,
57,USNCO L2008,B,,,
58,USNCO L2008,C,,,
59,USNCO L2008,B,,,
60,USNCO L2008,A,,,
1,USNCO L2007,C,,,
2,USNCO L2007,C,,,
3,USNCO L2007,D,,,
4,USNCO L2007,A,,,
5,USNCO L2007,D,,,
6,USNCO L2007,B,,,
7,USNCO L2007,D,,,
8,USNCO L2007,B,,,
9,USNCO L2007,A,,,
10,USNCO L2007,A,,,
11,USNCO L2007,B,,,
12,USNCO L2007,C,,,
13,USNCO L2007,A,,,
14,USNCO L2007,A,,,
15,USNCO L2007,D,,,
16,USNCO L2007,B,,,
17,USNCO L2007,C,,,
18,USNCO L2007,C,,,
19,USNCO L2007,D,,,
20,USNCO L2007,C,,,
21,USNCO L2007,A,,,
22,USNCO L2007,B,,,
23,USNCO L2007,C,,,
24,USNCO L2007,A,,,
25,USNCO L2007,D,,,
26,USNCO L2007,C,,,
27,USNCO L2007,D,,,
28,USNCO L2007,B,,,
29,USNCO L2007,D,,,
30,USNCO L2007,D,,,
31,USNCO L2007,A,,,
32,USNCO L2007,D,,,
33,USNCO L2007,D,,,
34,USNCO L2007,C,,,
35,USNCO L2007,D,,,
36,USNCO L2007,B,,,
37,USNCO L2007,A,,,
38,USNCO L2007,D,,,
39,USNCO L2007,B,,,
40,USNCO L2007,C,,,
41,USNCO L2007,B,,,
42,USNCO L2007,C,,,
43,USNCO L2007,C,,,
44,USNCO L2007,B,,,
45,USNCO L2007,A,,,
46,USNCO L2007,A,,,
47,USNCO L2007,B,,,
48,USNCO L2007,A,,,
49,USNCO L2007,D,,,
50,USNCO L2007,A,,,
51,USNCO L2007,A,,,
52,USNCO L2007,C,,,
53,USNCO L2007,B,,,
54,USNCO L2007,C,,,
55,USNCO L2007,D,,,
56,USNCO L2007,C,,,
57,USNCO L2007,D,,,
58,USNCO L2007,B,,,
59,USNCO L2007,B,,,
60,USNCO L2007,A,,,
1,USNCO L2006,D,,,
2,USNCO L2006,C,,,
3,USNCO L2006,B,,,
4,USNCO L2006,C,,,
5,USNCO L2006,A,,,
6,USNCO L2006,B,,,
7,USNCO L2006,D,,,
8,USNCO L2006,B,,,
9,USNCO L2006,D,,,
10,USNCO L2006,D,,,
11,USNCO L2006,C,,,
12,USNCO L2006,B,,,
13,USNCO L2006,A,,,
14,USNCO L2006,C,,,
15,USNCO L2006,A,,,
16,USNCO L2006,B,,,
17,USNCO L2006,D,,,
18,USNCO L2006,B,,,
19,USNCO L2006,A,,,
20,USNCO L2006,A,,,
21,USNCO L2006,C,,,
22,USNCO L2006,C,,,
23,USNCO L2006,B,,,
24,USNCO L2006,B,,,
25,USNCO L2006,D,,,
26,USNCO L2006,C,,,
27,USNCO L2006,B,,,
28,USNCO L2006,D,,,
29,USNCO L2006,C,,,
30,USNCO L2006,A,,,
31,USNCO L2006,A,,,
32,USNCO L2006,C,,,
33,USNCO L2006,A,,,
34,USNCO L2006,D,,,
35,USNCO L2006,B,,,
36,USNCO L2006,D,,,
37,USNCO L2006,B,,,
38,USNCO L2006,D,,,
39,USNCO L2006,B,,,
40,USNCO L2006,B,,,
41,USNCO L2006,A,,,
42,USNCO L2006,C,,,
43,USNCO L2006,D,,,
44,USNCO L2006,C,,,
45,USNCO L2006,A,,,
46,USNCO L2006,B,,,
47,USNCO L2006,B,,,
48,USNCO L2006,C,,,
49,USNCO L2006,A,,,
50,USNCO L2006,A,,,
51,USNCO L2006,D,,,
52,USNCO L2006,D,,,
53,USNCO L2006,C,,,
54,USNCO L2006,D,,,
55,USNCO L2006,B,,,
56,USNCO L2006,D,,,
57,USNCO L2006,B,,,
58,USNCO L2006,A,,,
59,USNCO L2006,C,,,
60,USNCO L2006,B,,,
1,USNCO L2005,D,,,
2,USNCO L2005,B,,,
3,USNCO L2005,A,,,
4,USNCO L2005,A,,,
5,USNCO L2005,B,,,
6,USNCO L2005,D,,,
7,USNCO L2005,C,,,
8,USNCO L2005,D,,,
9,USNCO L2005,C,,,
10,USNCO L2005,D,,,
11,USNCO L2005,C,,,
12,USNCO L2005,A,,,
13,USNCO L2005,D,,,
14,USNCO L2005,A,,,
15,USNCO L2005,B,,,
16,USNCO L2005,B,,,
17,USNCO L2005,A,,,
18,USNCO L2005,D,,,
19,USNCO L2005,D,,,
20,USNCO L2005,D,,,
21,USNCO L2005,A,,,
22,USNCO L2005,B,,,
23,USNCO L2005,B,,,
24,USNCO L2005,A,,,
25,USNCO L2005,B,,,
26,USNCO L2005,C,,,
27,USNCO L2005,C,,,
28,USNCO L2005,D,,,
29,USNCO L2005,D,,,
30,USNCO L2005,A,,,
31,USNCO L2005,B,,,
32,USNCO L2005,B,,,
33,USNCO L2005,B,,,
34,USNCO L2005,B,,,
35,USNCO L2005,C,,,
36,USNCO L2005,D,,,
37,USNCO L2005,C,,,
38,USNCO L2005,B,,,
39,USNCO L2005,D,,,
40,USNCO L2005,A,,,
41,USNCO L2005,A,,,
42,USNCO L2005,C,,,
43,USNCO L2005,C,,,
44,USNCO L2005,B,,,
45,USNCO L2005,D,,,
46,USNCO L2005,A,,,
47,USNCO L2005,D,,,
48,USNCO L2005,B,,,
49,USNCO L2005,D,,,
50,USNCO L2005,C,,,
51,USNCO L2005,A,,,
52,USNCO L2005,B,,,
53,USNCO L2005,D,,,
54,USNCO L2005,A,,,
55,USNCO L2005,D,,,
56,USNCO L2005,B,,,
57,USNCO L2005,C,,,
58,USNCO L2005,D,,,
59,USNCO L2005,D,,,
60,USNCO L2005,B,,,
1,USNCO L2004,A,,,
2,USNCO L2004,D,,,
3,USNCO L2004,C,,,
4,USNCO L2004,C,,,
5,USNCO L2004,C,,,
6,USNCO L2004,D,,,
7,USNCO L2004,A,,,
8,USNCO L2004,D,,,
9,USNCO L2004,A,,,
10,USNCO L2004,C,,,
11,USNCO L2004,B,,,
12,USNCO L2004,D,,,
13,USNCO L2004,C,,,
14,USNCO L2004,C,,,
15,USNCO L2004,A,,,
16,USNCO L2004,A,,,
17,USNCO L2004,A,,,
18,USNCO L2004,D,,,
19,USNCO L2004,A,,,
20,USNCO L2004,B,,,
21,USNCO L2004,D,,,
22,USNCO L2004,A,,,
23,USNCO L2004,B,,,
24,USNCO L2004,A,,,
25,USNCO L2004,D,,,
26,USNCO L2004,C,,,
27,USNCO L2004,A,,,
28,USNCO L2004,C,,,
29,USNCO L2004,C,,,
30,USNCO L2004,B,,,
31,USNCO L2004,C,,,
32,USNCO L2004,D,,,
33,USNCO L2004,B,,,
34,USNCO L2004,A,,,
35,USNCO L2004,B,,,
36,USNCO L2004,D,,,
37,USNCO L2004,B,,,
38,USNCO L2004,B,,,
39,USNCO L2004,D,,,
40,USNCO L2004,B,,,
41,USNCO L2004,A,,,
42,USNCO L2004,D,,,
43,USNCO L2004,D,,,
44,USNCO L2004,B,,,
45,USNCO L2004,D,,,
46,USNCO L2004,B,,,
47,USNCO L2004,D,,,
48,USNCO L2004,A,,,
49,USNCO L2004,A,,,
50,USNCO L2004,D,,,
51,USNCO L2004,A,,,
52,USNCO L2004,C,,,
53,USNCO L2004,C,,,
54,USNCO L2004,B,,,
55,USNCO L2004,A,,,
56,USNCO L2004,D,,,
57,USNCO L2004,B,,,
58,USNCO L2004,A,,,
59,USNCO L2004,D,,,
60,USNCO L2004,D,,,
1,USNCO L2003,B,,,
2,USNCO L2003,D,,,
3,USNCO L2003,A,,,
4,USNCO L2003,C,,,
5,USNCO L2003,D,,,
6,USNCO L2003,D,,,
7,USNCO L2003,C,,,
8,USNCO L2003,C,,,
9,USNCO L2003,A,,,
10,USNCO L2003,D,,,
11,USNCO L2003,A,,,
12,USNCO L2003,D,,,
13,USNCO L2003,C,,,
14,USNCO L2003,A,,,
15,USNCO L2003,D,,,
16,USNCO L2003,A,,,
17,USNCO L2003,C,,,
18,USNCO L2003,C,,,
19,USNCO L2003,B,,,
20,USNCO L2003,B,,,
21,USNCO L2003,A,,,
22,USNCO L2003,B,,,
23,USNCO L2003,D,,,
24,USNCO L2003,C,,,
25,USNCO L2003,C,,,
26,USNCO L2003,D,,,
27,USNCO L2003,D,,,
28,USNCO L2003,C,,,
29,USNCO L2003,B,,,
30,USNCO L2003,A,,,
31,USNCO L2003,D,,,
32,USNCO L2003,A,,,
33,USNCO L2003,B,,,
34,USNCO L2003,D,,,
35,USNCO L2003,C,,,
36,USNCO L2003,B,,,
37,USNCO L2003,B,,,
38,USNCO L2003,A,,,
39,USNCO L2003,B,,,
40,USNCO L2003,C,,,
41,USNCO L2003,A,,,
42,USNCO L2003,D,,,
43,USNCO L2003,A,,,
44,USNCO L2003,C,,,
45,USNCO L2003,B,,,
46,USNCO L2003,B,,,
47,USNCO L2003,C,,,
48,USNCO L2003,A,,,
49,USNCO L2003,D,,,
50,USNCO L2003,A,,,
51,USNCO L2003,D,,,
52,USNCO L2003,A,,,
53,USNCO L2003,D,,,
54,USNCO L2003,B,,,
55,USNCO L2003,A,,,
56,USNCO L2003,A,,,
57,USNCO L2003,C,,,
58,USNCO L2003,A,,,
59,USNCO L2003,B,,,
60,USNCO L2003,C,,,
1,USNCO L2002,C,,,
2,USNCO L2002,B,,,
3,USNCO L2002,A,,,
4,USNCO L2002,D,,,
5,USNCO L2002,C,,,
6,USNCO L2002,B,,,
7,USNCO L2002,A,,,
